Actual,RF_Predicted,LR_Predicted
83.0,126.54,181.3803583907993
186.0,204.11,272.40455333812497
144.0,344.5,239.56323096766027
165.0,166.68,218.7113884882383
110.0,75.61,36.02440407858376
102.0,191.83,191.6968217393005
155.0,207.14,285.43730440105173
168.0,391.85,297.769787924055
99.0,130.46,239.5244744001975
142.0,139.54,173.01575794709606
454.0,166.59,146.8171484929917
548.0,302.57,214.94622089491168
109.0,204.79,267.98477106912287
153.0,196.75,227.16255143867056
100.0,122.17,236.43955576090957
50.0,98.27,115.5012320302576
212.0,162.78,234.05593161360594
169.0,296.01,279.84507299528195
299.0,380.75,213.7331578455305
156.0,220.91,242.50926989212712
55.0,78.9,192.01444538656142
89.0,80.42,202.52694732338023
59.0,57.69,203.15289078689966
87.0,47.93,131.5950337769882
579.0,175.38,222.75680396682037
51.0,117.05533333333332,759.6742281558909
364.0,192.7,285.0111805115139
144.0,175.9,266.33273716756594
61.0,85.08,82.80860625890455
158.0,125.98,255.39337984328267
1697.0,484.45,277.02745709183
223.0,196.45,259.3039821571274
308.0,317.65,187.48325602256773
270.0,298.75,291.20285230532863
247.0,142.24,178.26074571458412
40.0,34.13,95.08566666029583
937.0,128.86,233.62331217415704
142.0,227.66,231.83781511210327
522.0,347.59,221.27059011829988
189.0,349.65,247.89715032001732
129.0,218.68,259.26982464039975
124.0,130.55,240.45152706025328
44.0,80.71,233.4704948546132
118.0,136.29,214.52253689831923
133.0,313.89,224.0315962399436
107.0,113.29,145.41898673432115
132.0,111.84,162.92697606399088
352.0,250.4,224.188416746827
1100.0,584.4900000000001,783.0241743293336
388.0,357.74,237.75074261004556
150.0,248.1,279.7179821163354
225.0,153.22,176.56794936456208
144.0,182.09,268.6043125002161
113.0,185.89,161.49172488244403
64.0,176.51,-153.73548077675514
193.0,189.76,196.79130489805357
75.0,115.42,263.299257357472
51.0,86.56,175.08945284953734
142.0,158.12,196.00429824471757
205.0,267.31,274.00545694477114
39.0,43.55,80.2276878521916
81.0,194.72,202.23202960042
104.0,153.31,225.85460122690893
143.0,105.59,110.0321820220197
203.0,233.08,175.4085193590945
3333.0,403.16,291.65882435435014
97.0,127.22,253.7794025109979
92.0,122.96,164.00016090140525
90.0,136.55,152.39047394123008
1600.0,430.27,216.6322267285941
270.0,276.63,265.8203796327907
46.0,57.62,169.07454457737003
195.0,185.26,286.7875060077513
76.0,59.28,125.01222962670181
248.0,450.51,272.72426206119053
53.0,78.71,225.16969528847585
220.0,320.94,284.2582806702958
37.0,42.11,192.99868842404067
67.0,64.17,121.57569135283484
774.0,311.96,265.444345147258
86.0,70.27,95.32350656794733
277.0,293.04,283.4097278295685
115.0,238.63,142.66595817420603
114.0,124.65,205.5147845586016
259.0,229.11,226.42231981666555
124.0,203.47,154.62242751793565
331.0,321.42,231.49037794340438
112.0,181.62,212.33114987352928
184.0,427.26,285.6556529802674
189.0,240.77,293.6775678206104
1998.0,158.54,239.42743298649475
214.0,167.91,225.9042631014472
278.0,315.83,291.8583186290871
55.0,182.16,220.78395418802756
395.0,150.11,179.33600896772623
135.0,213.66,255.1741211889821
230.0,237.53,261.39796438979647
317.0,276.11,258.9472619809767
99.0,115.46,204.26634268408634
189.0,269.94,226.6802165607187
296.0,299.37,165.13606389561937
268.0,206.81,295.7063382583874
294.0,204.74,184.13561245327946
199.0,183.03,277.98557511680156
158.0,226.77,279.09239591247024
503.0,311.42,268.91579985440694
115.0,222.56,227.7600353939306
206.0,237.81,129.2843051522941
179.0,310.41,275.61728052702165
146.0,166.23,178.51444302663185
155.0,212.74,291.35265389633605
888.0,303.55,278.0395451035238
132.0,265.18,230.39482259764554
197.0,186.06,234.7085178559828
221.0,283.96,290.0482516860866
198.0,167.15,251.32547321186394
80.0,161.26,253.81998869630115
143.0,131.16,145.01609813856703
228.0,261.63,223.3370096771123
301.0,233.04,217.601985552541
59.0,70.93,216.27945099681892
100.0,131.43,108.88658277447757
211.0,226.37,228.4671425290362
506.0,381.27,224.00341103405663
152.0,171.14,198.87580410242117
84.0,162.88,190.99522080018505
173.0,357.45,267.69482523124134
300.0,292.48,291.26689571071256
276.0,211.6,159.85628051053936
327.0,277.65,286.9997406781422
90.0,69.69,91.43855861967859
118.0,116.72364285714286,776.0903278986152
67.0,89.69,209.33989453717004
168.0,184.34,238.07319173030555
75.0,204.8,162.91079144550895
208.0,227.35,244.85616903948903
202.0,343.37,216.7788009170472
